Date,Open,High,Low,Close,Adj Close,Volume
2024-01-05,181.990005,182.759995,180.169998,181.179993,180.703995,62303300
2024-01-08,182.089996,185.600006,181.500000,185.559998,185.072495,59144500
2024-01-09,183.919998,185.149994,182.729996,185.139999,184.653595,42841800
2024-01-10,184.350006,186.399994,183.919998,186.190002,185.700836,46792900
2024-01-11,186.539993,187.050003,183.619995,185.589996,185.102417,49128400
2024-01-12,186.059998,186.740005,185.190002,185.919998,185.431549,40444700
2024-01-16,182.160004,184.259995,180.929993,183.630005,183.147568,65603000
2024-01-17,181.270004,182.929993,180.300003,182.679993,182.200058,47317400
2024-01-18,186.089996,189.139999,185.830002,188.630005,188.134445,78005800
2024-01-19,189.330002,191.949997,188.820007,191.559998,191.056732,68741000
2024-01-22,192.300003,195.330002,192.259995,193.889999,193.380600,60133900
2024-01-23,195.020004,195.750000,193.830002,195.179993,194.667221,42355600
2024-01-24,195.419998,196.380005,194.339996,194.500000,193.988998,53631300
2024-01-25,195.220001,196.270004,193.110001,194.169998,193.659882,54822100
2024-01-26,194.270004,194.759995,191.940002,192.419998,191.914474,44594000
2024-01-29,192.009995,192.199997,189.580002,191.729996,191.226288,47145600
2024-01-30,190.940002,191.800003,187.470001,188.039993,187.545975,55859400
2024-01-31,187.039993,187.100006,184.350006,184.399994,183.915543,55467800
2024-02-01,183.990005,186.949997,183.820007,186.860001,186.369095,64885400
2024-02-02,179.860001,187.330002,179.250000,185.850006,185.361740,102518000
2024-02-05,188.149994,189.250000,185.839996,187.679993,187.186920,69668800
2024-02-06,186.860001,189.309998,186.770004,189.300003,188.802673,43490800
2024-02-07,190.639999,191.050003,188.610001,189.410004,188.912399,53439000
2024-02-08,189.389999,189.539993,187.350006,188.320007,187.825256,40962000
2024-02-09,188.649994,189.990005,188.000000,188.850006,188.594208,45155200
2024-02-12,188.419998,188.669998,186.789993,187.149994,186.896500,41781900
2024-02-13,185.770004,186.210007,183.509995,185.039993,184.789352,56529500
2024-02-14,185.320007,185.529999,182.440002,184.149994,183.900558,54630500
2024-02-15,183.550003,184.490005,181.350006,183.860001,183.610962,65434500
2024-02-16,183.419998,184.850006,181.669998,182.309998,182.063049,49701400
2024-02-20,181.789993,182.429993,180.000000,181.559998,181.314072,53665600
2024-02-21,181.940002,182.889999,180.660004,182.320007,182.073059,41529700
2024-02-22,183.479996,184.960007,182.460007,184.369995,184.120270,52292200
2024-02-23,185.009995,185.039993,182.229996,182.520004,182.272781,45119700
2024-02-26,182.240005,182.759995,180.649994,181.160004,180.914627,40867400
2024-02-27,181.100006,183.919998,179.559998,182.630005,182.382629,54318900
2024-02-28,182.509995,183.119995,180.130005,181.419998,181.174255,48953900
2024-02-29,181.270004,182.570007,179.529999,180.750000,180.505173,136682600
2024-03-01,179.550003,180.529999,177.380005,179.660004,179.416656,73488000
2024-03-04,176.149994,176.899994,173.789993,175.100006,174.862823,81510100
2024-03-05,170.759995,172.039993,169.619995,170.119995,169.889572,95132400
2024-03-06,171.059998,171.240005,168.679993,169.119995,168.890915,68587700
2024-03-07,169.149994,170.729996,168.490005,169.000000,168.771088,71765100
2024-03-08,169.000000,173.699997,168.940002,170.729996,170.498734,76114600
2024-03-11,172.940002,174.380005,172.050003,172.750000,172.516006,60139500
2024-03-12,173.149994,174.029999,171.009995,173.229996,172.995346,59825400
2024-03-13,172.770004,173.190002,170.759995,171.130005,170.898209,52488700
2024-03-14,172.910004,174.309998,172.050003,173.000000,172.765671,72913500
2024-03-15,171.169998,172.619995,170.289993,172.619995,172.386185,121664700
2024-03-18,175.570007,177.710007,173.520004,173.720001,173.484695,75604200
2024-03-19,174.339996,176.610001,173.029999,176.080002,175.841492,55215200
2024-03-20,175.720001,178.669998,175.089996,178.669998,178.427994,53423100
2024-03-21,177.050003,177.490005,170.839996,171.369995,171.137878,106181300
2024-03-22,171.759995,173.050003,170.059998,172.279999,172.046646,71106600
2024-03-25,170.570007,171.940002,169.449997,170.850006,170.618591,54288300
2024-03-26,170.000000,171.419998,169.580002,169.710007,169.480133,57388400
2024-03-27,170.410004,173.600006,170.110001,173.309998,173.075241,60273300
2024-03-28,171.750000,172.229996,170.509995,171.479996,171.247726,65672700
2024-04-01,171.190002,171.250000,169.479996,170.029999,169.799698,46240500
2024-04-02,169.080002,169.339996,168.229996,168.839996,168.611298,49329500
2024-04-03,168.789993,170.679993,168.580002,169.649994,169.420197,47691700
2024-04-04,170.289993,171.919998,168.820007,168.820007,168.591339,53704400
2024-04-05,169.589996,170.389999,168.949997,169.580002,169.350296,42055200
2024-04-08,169.029999,169.199997,168.240005,168.449997,168.221832,37425500
2024-04-09,168.699997,170.080002,168.350006,169.669998,169.440170,42451200
2024-04-10,168.800003,169.089996,167.110001,167.779999,167.552734,49709300
2024-04-11,168.339996,175.460007,168.160004,175.039993,174.802902,91070300
2024-04-12,174.259995,178.360001,174.210007,176.550003,176.310867,101593300
2024-04-15,175.360001,176.630005,172.500000,172.690002,172.456085,73531800
2024-04-16,171.750000,173.759995,168.270004,169.380005,169.150574,73711200
2024-04-17,169.610001,170.649994,168.000000,168.000000,167.772446,50901200
2024-04-18,168.029999,168.639999,166.550003,167.039993,166.813736,43122900
2024-04-19,166.210007,166.399994,164.080002,165.000000,164.776505,67772100
2024-04-22,165.520004,167.259995,164.770004,165.839996,165.615356,48116400
2024-04-23,165.350006,167.050003,164.919998,166.899994,166.673920,49537800
2024-04-24,166.539993,169.300003,166.210007,169.020004,168.791061,48251800
2024-04-25,169.529999,170.610001,168.149994,169.889999,169.659882,50558300
2024-04-26,169.880005,171.339996,169.179993,169.300003,169.070679,44838400
2024-04-29,173.369995,176.029999,173.100006,173.500000,173.264984,68169400
2024-04-30,173.330002,174.990005,170.000000,170.330002,170.099289,65934800
2024-05-01,169.580002,172.710007,169.110001,169.300003,169.070679,50383100
2024-05-02,172.509995,173.419998,170.889999,173.029999,172.795624,94214900
2024-05-03,186.649994,187.000000,182.660004,183.380005,183.131607,163224100
2024-05-06,182.350006,184.199997,180.419998,181.710007,181.463882,78569700
2024-05-07,183.449997,184.899994,181.320007,182.399994,182.152924,77305800
2024-05-08,182.850006,183.070007,181.449997,182.740005,182.492477,45057100
2024-05-09,182.559998,184.660004,182.110001,184.570007,184.320007,48983000
2024-05-10,184.899994,185.089996,182.130005,183.050003,183.050003,50759500
2024-05-13,185.440002,187.100006,184.619995,186.279999,186.279999,72044800
2024-05-14,187.509995,188.300003,186.289993,187.429993,187.429993,52393600
2024-05-15,187.910004,190.649994,187.369995,189.720001,189.720001,70400000
2024-05-16,190.470001,191.100006,189.660004,189.839996,189.839996,52845200
2024-05-17,189.509995,190.809998,189.179993,189.869995,189.869995,41282900
2024-05-20,189.330002,191.919998,189.009995,191.039993,191.039993,44361300
2024-05-21,191.089996,192.729996,190.919998,192.350006,192.350006,42309400
2024-05-22,192.270004,192.820007,190.270004,190.899994,190.899994,34648500
2024-05-23,190.979996,191.000000,186.630005,186.880005,186.880005,51005900
2024-05-24,188.820007,190.580002,188.039993,189.979996,189.979996,36294600
2024-05-28,191.509995,193.000000,189.100006,189.990005,189.990005,52280100
2024-05-29,189.610001,192.250000,189.509995,190.289993,190.289993,53068000
2024-05-30,190.759995,192.179993,190.630005,191.289993,191.289993,49947900
2024-05-31,191.440002,192.570007,189.910004,192.250000,192.250000,75158300
2024-06-03,192.899994,194.990005,192.520004,194.029999,194.029999,50080500
2024-06-04,194.639999,195.320007,193.029999,194.350006,194.350006,47471400
2024-06-05,195.399994,196.899994,194.869995,195.869995,195.869995,54156800
2024-06-06,195.690002,196.500000,194.169998,194.479996,194.479996,41181800
2024-06-07,194.649994,196.940002,194.139999,196.889999,196.889999,53103900
2024-06-10,196.899994,197.300003,192.149994,193.119995,193.119995,97262100
2024-06-11,193.649994,207.160004,193.630005,207.149994,207.149994,172373300
2024-06-12,207.369995,220.199997,206.899994,213.070007,213.070007,198134300
2024-06-13,214.740005,216.750000,211.600006,214.240005,214.240005,97862700
2024-06-14,213.850006,215.169998,211.300003,212.490005,212.490005,70122700
2024-06-17,213.369995,218.949997,212.720001,216.669998,216.669998,93728300
2024-06-18,217.589996,218.630005,213.000000,214.289993,214.289993,79943300
2024-06-20,213.929993,214.240005,208.850006,209.679993,209.679993,86172500
2024-06-21,210.389999,211.889999,207.110001,207.490005,207.490005,246421400
2024-06-24,207.720001,212.699997,206.589996,208.139999,208.139999,80727000
2024-06-25,209.149994,211.380005,208.610001,209.070007,209.070007,56713900
2024-06-26,211.500000,214.860001,210.639999,213.250000,213.250000,66213200
2024-06-27,214.690002,215.740005,212.350006,214.100006,214.100006,49718000
